Date,Open,High,Low,Close,Adj Close,Volume
17/09/2014,465.8640137,468.17401123046875,452.4219970703125,457.3340148925781,457.3340148925781,21056800
18/09/2014,456.8599853515625,456.8599853515625,413.1040039,424.44000244140625,424.44000244140625,34483200
19/09/2014,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,394.7959899902344,37919700
20/09/2014,394.6730041503906,423.2959899902344,389.88299560546875,408.90399169921875,408.90399169921875,36863600
21/09/2014,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,398.8210144042969,26580100
22/09/2014,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,402.1520080566406,24127600
23/09/2014,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,435.7909851074219,45099500
24/09/2014,435.7510070800781,436.11199951171875,421.1319885253906,423.2049865722656,423.2049865722656,30627700
25/09/2014,423.1560059,423.5199890136719,409.4679870605469,411.5740051269531,411.5740051269531,26814400
26/09/2014,411.4289855957031,414.9379883,400.0090026855469,404.42498779296875,404.42498779296875,21460800
27/09/2014,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,399.5199890136719,15029300
28/09/2014,399.47100830078125,401.0169982910156,374.3320007324219,377.1809997558594,377.1809997558594,23613300
29/09/2014,376.9280090332031,385.21099853515625,372.2399902,375.4670104980469,375.4670104980469,32497700
30/09/2014,376.0880126953125,390.97698974609375,373.4429931640625,386.9440002441406,386.9440002441406,34707300
01/10/2014,387.427002,391.3789978027344,380.7799987792969,383.6149902,383.6149902,26229400
02/10/2014,383.9880065917969,385.49700927734375,372.9460144042969,375.0719909667969,375.0719909667969,21777700
03/10/2014,375.1809997558594,377.69500732421875,357.8590087890625,359.5119934082031,359.5119934082031,30901200
04/10/2014,359.8919982910156,364.48699951171875,325.8859863,328.8659973144531,328.8659973144531,47236500
05/10/2014,328.9159851074219,341.8009948730469,289.2959899902344,320.5100098,320.5100098,83308096
06/10/2014,320.3890075683594,345.1340026855469,302.55999755859375,330.0790100097656,330.0790100097656,79011800
07/10/2014,330.5840148925781,339.24700927734375,320.48199462890625,336.1870117,336.1870117,49199900
08/10/2014,336.1159973144531,354.3640137,327.1879883,352.94000244140625,352.94000244140625,54736300
09/10/2014,352.74798583984375,382.72601318359375,347.6870117,365.0260009765625,365.0260009765625,83641104
10/10/2014,364.6870117,375.0669860839844,352.9630126953125,361.5620117,361.5620117,43665700
11/10/2014,361.36199951171875,367.1910095214844,355.95098876953125,362.29901123046875,362.29901123046875,13345200
12/10/2014,362.6059875488281,379.4330139160156,356.1440124511719,378.54901123046875,378.54901123046875,17552800
13/10/2014,377.9209899902344,397.22601318359375,368.8970031738281,390.41400146484375,390.41400146484375,35221400
14/10/2014,391.6919860839844,411.697998,391.3240051269531,400.8699951171875,400.8699951171875,38491500
15/10/2014,400.9549865722656,402.22698974609375,388.7659912109375,394.77301025390625,394.77301025390625,25267100
16/10/2014,394.51800537109375,398.8070068359375,373.07000732421875,382.5559997558594,382.5559997558594,26990000
17/10/2014,382.7560119628906,385.4779968261719,375.3890075683594,383.75799560546875,383.75799560546875,13600700
18/10/2014,383.97601318359375,395.1579895019531,378.97100830078125,391.4419860839844,391.4419860839844,11416800
19/10/2014,391.2539978027344,393.9389953613281,386.4570007324219,389.5459899902344,389.5459899902344,5914570
20/10/2014,389.2309875488281,390.0840148925781,378.25201416015625,382.8450012207031,382.8450012207031,16419000
21/10/2014,382.4209899902344,392.6459961,380.8340148925781,386.4750061035156,386.4750061035156,14188900
22/10/2014,386.1180114746094,388.57598876953125,382.2489929199219,383.1579895019531,383.1579895019531,11641300
23/10/2014,382.9620056152344,385.0480041503906,356.4469909667969,358.4169922,358.4169922,26456900
24/10/2014,358.59100341796875,364.3450012207031,353.30499267578125,358.3450012207031,358.3450012207031,15585700
25/10/2014,358.6109924316406,359.8609924316406,342.87701416015625,347.2709961,347.2709961,18127500
26/10/2014,347.48699951171875,359.22100830078125,343.9309997558594,354.7040100097656,354.7040100097656,11272500
27/10/2014,354.7770080566406,358.6319885253906,349.8089904785156,352.9890137,352.9890137,13033000
28/10/2014,353.2149963378906,359.9840087890625,352.6789855957031,357.6180114746094,357.6180114746094,7845880
29/10/2014,357.0889892578125,357.8330078,335.3429870605469,335.59100341796875,335.59100341796875,18192700
30/10/2014,335.7090148925781,350.9129943847656,335.0719909667969,345.30499267578125,345.30499267578125,30177900
31/10/2014,345.0090026855469,348.0450134277344,337.1419982910156,338.3210144042969,338.3210144042969,12545400
01/11/2014,338.6499938964844,340.52899169921875,321.05499267578125,325.7489929199219,325.7489929199219,16677200
02/11/2014,326.07501220703125,329.04998779296875,320.6260070800781,325.8919982910156,325.8919982910156,8603620
03/11/2014,325.5690002441406,334.00201416015625,325.4809875488281,327.5539855957031,327.5539855957031,12948500
04/11/2014,327.1610107421875,331.7669982910156,325.0769958496094,330.49200439453125,330.49200439453125,15655500
05/11/2014,330.6830139160156,343.3689880371094,330.6830139160156,339.4859924316406,339.4859924316406,19817200
06/11/2014,339.4580078,352.96600341796875,338.42401123046875,349.2900085449219,349.2900085449219,18797000
07/11/2014,349.8179931640625,352.73199462890625,341.7760009765625,342.4150085449219,342.4150085449219,16834200
08/11/2014,342.15399169921875,347.0320129394531,342.15399169921875,345.4880065917969,345.4880065917969,8535470
09/11/2014,345.3760070800781,363.6260070800781,344.2550048828125,363.2640075683594,363.2640075683594,24205600
